week,# of new_confirmed_EVD_cases,county
16,2,Lofa
16,8,Margibi
16,0,Maryland
16,2,Montserrado
16,0,Nimba
16,0,River Gee
16,0,Rivercess
16,0,Sinoe
17,18,Bomi
17,20,Bong
17,6,Gbarpolu
17,1,Grand Bassa
17,56,Grand Cape Mount
17,0,Grand Gedeh
17,0,Grand Kru
17,5,Lofa
17,17,Margibi
17,0,Maryland
17,4,Montserrado
17,0,Nimba
17,0,River Gee
17,0,Rivercess
17,0,Sinoe
18,24,Bomi
18,27,Bong
18,4,Gbarpolu
18,2,Grand Bassa
18,63,Grand Cape Mount
18,0,Grand Gedeh
18,0,Grand Kru
18,2,Lofa
18,18,Margibi
18,0,Maryland
18,12,Montserrado
18,0,Nimba
18,0,River Gee
18,0,Rivercess
18,0,Sinoe
19,30,Bomi
19,30,Bong
19,10,Gbarpolu
19,3,Grand Bassa
19,66,Grand Cape Mount
19,0,Grand Gedeh
19,0,Grand Kru
19,5,Lofa
19,18,Margibi
19,0,Maryland
19,18,Montserrado
19,0,Nimba
19,0,River Gee
19,0,Rivercess
19,0,Sinoe
20,28,Bomi
20,40,Bong
20,7,Gbarpolu
20,8,Grand Bassa
20,84,Grand Cape Mount
20,0,Grand Gedeh
20,0,Grand Kru
20,3,Lofa
20,14,Margibi
20,0,Maryland
20,26,Montserrado
20,1,Nimba
20,0,River Gee
20,0,Rivercess
20,0,Sinoe
