week,# of new_confirmed_EVD_cases,county
16,2,Lofa
16,8,Margibi
16,0,Maryland
16,2,Montserrado
16,0,Nimba
16,0,River Gee
16,0,Rivercess
16,0,Sinoe
17,18,Bomi
17,20,Bong
17,6,Gbarpolu
17,1,Grand Bassa
17,56,Grand Cape Mount
17,0,Grand Gedeh
17,0,Grand Kru
17,5,Lofa
17,17,Margibi
17,0,Maryland
17,4,Montserrado
17,0,Nimba
17,0,River Gee
17,0,Rivercess
17,0,Sinoe
18,24,Bomi
18,27,Bong
18,4,Gbarpolu
18,2,Grand Bassa
18,63,Grand Cape Mount
18,0,Grand Gedeh
18,0,Grand Kru
18,2,Lofa
18,18,Margibi
18,0,Maryland
18,12,Montserrado
18,0,Nimba
18,0,River Gee
18,0,Rivercess
18,0,Sinoe
19,30,Bomi
19,30,Bong
19,10,Gbarpolu
19,3,Grand Bassa
19,66,Grand Cape Mount
19,0,Grand Gedeh
19,0,Grand Kru
19,5,Lofa
19,18,Margibi
19,0,Maryland
19,18,Montserrado
19,0,Nimba
19,0,River Gee
19,0,Rivercess
19,0,Sinoe
20,28,Bomi
20,40,Bong
20,7,Gbarpolu
20,8,Grand Bassa
20,84,Grand Cape Mount
20,0,Grand Gedeh
20,0,Grand Kru
20,3,Lofa
20,14,Margibi
20,0,Maryland
20,26,Montserrado
20,1,Nimba
20,0,River Gee
20,0,Rivercess
20,0,Sinoe
21,38,Bomi
21,45,Bong
21,4,Gbarpolu
21,3,Grand Bassa
21,90,Grand Cape Mount
21,0,Grand Gedeh
21,0,Grand Kru
21,8,Lofa
21,15,Margibi
21,0,Maryland
21,33,Montserrado
21,7,Nimba
21,0,River Gee
21,0,Rivercess
21,0,Sinoe
22,31,Bomi
22,44,Bong
22,7,Gbarpolu
22,4,Grand Bassa
22,88,Grand Cape Mount
22,0,Grand Gedeh
22,0,Grand Kru
22,10,Lofa
22,4,Margibi
22,0,Maryland
22,63,Montserrado
22,5,Nimba
22,0,River Gee
22,1,Rivercess
22,0,Sinoe
23,46,Bomi
23,59,Bong
23,13,Gbarpolu
23,4,Grand Bassa
23,89,Grand Cape Mount
23,0,Grand Gedeh
23,0,Grand Kru
23,10,Lofa
23,18,Margibi
23,0,Maryland
23,88,Montserrado
23,10,Nimba
23,0,River Gee
23,0,Rivercess
23,0,Sinoe
24,41,Bomi
24,59,Bong
24,16,Gbarpolu
24,8,Grand Bassa
24,123,Grand Cape Mount
24,0,Grand Gedeh
24,0,Grand Kru
24,7,Lofa
24,20,Margibi
24,0,Maryland
24,77,Montserrado
24,8,Nimba
24,0,River Gee
24,0,Rivercess
24,0,Sinoe
25,55,Bomi
25,39,Bong
25,8,Gbarpolu
25,3,Grand Bassa
25,88,Grand Cape Mount
25,0,Grand Gedeh
25,0,Grand Kru
25,13,Lofa
25,22,Margibi
25,0,Maryland
25,99,Montserrado
25,27,Nimba
25,0,River Gee
25,0,Rivercess
25,0,Sinoe
26,29,Bomi
26,39,Bong
26,5,Gbarpolu
26,5,Grand Bassa
26,75,Grand Cape Mount
26,0,Grand Gedeh
26,0,Grand Kru
26,15,Lofa
26,18,Margibi
26,0,Maryland
26,82,Montserrado
26,24,Nimba
26,0,River Gee
26,0,Rivercess
26,0,Sinoe
27,29,Bomi
27,27,Bong
27,4,Gbarpolu
27,13,Grand Bassa
27,50,Grand Cape Mount
27,1,Grand Gedeh
27,0,Grand Kru
27,9,Lofa
27,14,Margibi
27,0,Maryland
27,69,Montserrado
27,22,Nimba
27,0,River Gee
27,0,Rivercess
27,0,Sinoe
28,26,Bomi
28,21,Bong
28,6,Gbarpolu
28,8,Grand Bassa
28,31,Grand Cape Mount
28,2,Grand Gedeh
28,0,Grand Kru
28,19,Lofa
28,24,Margibi
28,0,Maryland
28,91,Montserrado
28,33,Nimba
28,0,River Gee
28,0,Rivercess
28,0,Sinoe
29,27,Bomi
29,12,Bong
29,8,Gbarpolu
29,3,Grand Bassa
29,17,Grand Cape Mount
29,5,Grand Gedeh
29,1,Grand Kru
29,14,Lofa
29,18,Margibi
29,1,Maryland
29,99,Montserrado
29,15,Nimba
29,0,River Gee
29,0,Rivercess
29,0,Sinoe
30,30,Bomi
30,23,Bong
30,5,Gbarpolu
30,1,Grand Bassa
30,20,Grand Cape Mount
30,6,Grand Gedeh
30,0,Grand Kru
30,10,Lofa
30,14,Margibi
30,4,Maryland
30,75,Montserrado
30,17,Nimba
30,1,River Gee
30,0,Rivercess
30,0,Sinoe
31,13,Bomi
31,21,Bong
31,1,Gbarpolu
31,1,Grand Bassa
31,23,Grand Cape Mount
31,4,Grand Gedeh
31,1,Grand Kru
31,7,Lofa
31,19,Margibi
31,1,Maryland
31,93,Montserrado
31,14,Nimba
31,0,River Gee
31,0,Rivercess
31,1,Sinoe
32,11,Bomi
32,21,Bong
32,0,Gbarpolu
32,0,Grand Bassa
32,19,Grand Cape Mount
32,12,Grand Gedeh
32,0,Grand Kru
32,1,Lofa
32,13,Margibi
32,1,Maryland
32,77,Montserrado
32,14,Nimba
32,0,River Gee
32,0,Rivercess
32,1,Sinoe
33,8,Bomi
33,15,Bong
33,1,Gbarpolu
33,1,Grand Bassa
33,18,Grand Cape Mount
33,23,Grand Gedeh
33,0,Grand Kru
33,4,Lofa
33,22,Margibi
33,1,Maryland
33,64,Montserrado
33,15,Nimba
33,1,River Gee
33,0,Rivercess
33,2,Sinoe
34,13,Bomi
34,19,Bong
34,1,Gbarpolu
34,3,Grand Bassa
34,14,Grand Cape Mount
34,18,Grand Gedeh
34,0,Grand Kru
34,4,Lofa
34,19,Margibi
34,0,Maryland
34,40,Montserrado
34,13,Nimba
34,0,River Gee
34,0,Rivercess
34,2,Sinoe
35,14,Bomi
35,11,Bong
35,3,Gbarpolu
35,2,Grand Bassa
35,8,Grand Cape Mount
35,12,Grand Gedeh
35,0,Grand Kru
35,2,Lofa
35,16,Margibi
35,0,Maryland
35,67,Montserrado
35,17,Nimba
35,4,River Gee
35,0,Rivercess
35,7,Sinoe
36,21,Bomi
36,12,Bong
36,5,Gbarpolu
36,3,Grand Bassa
36,20,Grand Cape Mount
36,13,Grand Gedeh
36,0,Grand Kru
36,1,Lofa
36,13,Margibi
36,0,Maryland
36,53,Montserrado
36,5,Nimba
36,4,River Gee
36,0,Rivercess
36,6,Sinoe
37,13,Bomi
37,21,Bong
37,3,Gbarpolu
37,2,Grand Bassa
37,11,Grand Cape Mount
37,12,Grand Gedeh
37,0,Grand Kru
37,2,Lofa
37,17,Margibi
37,0,Maryland
37,47,Montserrado
37,10,Nimba
37,1,River Gee
37,0,Rivercess
37,4,Sinoe
38,13,Bomi
38,16,Bong
38,4,Gbarpolu
38,0,Grand Bassa
38,7,Grand Cape Mount
38,4,Grand Gedeh
38,0,Grand Kru
38,0,Lofa
38,26,Margibi
38,0,Maryland
38,25,Montserrado
38,3,Nimba
38,0,River Gee
38,0,Rivercess
38,5,Sinoe
39,7,Bomi
39,15,Bong
39,5,Gbarpolu
39,0,Grand Bassa
39,5,Grand Cape Mount
39,8,Grand Gedeh
39,0,Grand Kru
39,0,Lofa
39,14,Margibi
39,0,Maryland
39,31,Montserrado
39,3,Nimba
39,0,River Gee
39,0,Rivercess
39,4,Sinoe
40,17,Bomi
40,5,Bong
40,3,Gbarpolu
40,2,Grand Bassa
40,3,Grand Cape Mount
40,3,Grand Gedeh
40,0,Grand Kru
40,0,Lofa
40,19,Margibi
40,0,Maryland
40,15,Montserrado
40,2,Nimba
40,0,River Gee
40,1,Rivercess
40,7,Sinoe
41,10,Bomi
41,12,Bong
41,3,Gbarpolu
41,0,Grand Bassa
41,2,Grand Cape Mount
41,1,Grand Gedeh
41,0,Grand Kru
41,0,Lofa
41,27,Margibi
41,0,Maryland
41,18,Montserrado
41,3,Nimba
41,0,River Gee
41,1,Rivercess
41,1,Sinoe
42,9,Bomi
42,11,Bong
42,2,Gbarpolu
42,0,Grand Bassa
42,2,Grand Cape Mount
42,1,Grand Gedeh
42,0,Grand Kru
42,0,Lofa
42,13,Margibi
42,0,Maryland
42,16,Montserrado
42,1,Nimba
42,0,River Gee
42,0,Rivercess
42,3,Sinoe
43,4,Bomi
43,7,Bong
43,2,Gbarpolu
43,0,Grand Bassa
43,2,Grand Cape Mount
43,2,Grand Gedeh
43,0,Grand Kru
43,0,Lofa
43,11,Margibi
43,0,Maryland
43,10,Montserrado
43,2,Nimba
43,0,River Gee
43,2,Rivercess
43,3,Sinoe
44,4,Bomi
44,12,Bong
44,1,Gbarpolu
44,0,Grand Bassa
44,2,Grand Cape Mount
44,1,Grand Gedeh
44,0,Grand Kru
44,0,Lofa
44,6,Margibi
44,0,Maryland
44,10,Montserrado
44,6,Nimba
44,1,River Gee
44,0,Rivercess
44,2,Sinoe
45,5,Bomi
45,8,Bong
45,0,Gbarpolu
45,0,Grand Bassa
45,0,Grand Cape Mount
45,2,Grand Gedeh
45,0,Grand Kru
45,0,Lofa
45,1,Margibi
45,0,Maryland
45,15,Montserrado
45,0,Nimba
45,2,River Gee
45,0,Rivercess
45,1,Sinoe
46,0,Bomi
46,11,Bong
46,0,Gbarpolu
46,0,Grand Bassa
46,1,Grand Cape Mount
46,1,Grand Gedeh
46,0,Grand Kru
46,0,Lofa
46,4,Margibi
46,0,Maryland
46,11,Montserrado
46,5,Nimba
46,0,River Gee
46,0,Rivercess
46,3,Sinoe
47,0,Bomi
47,8,Bong
47,0,Gbarpolu
47,0,Grand Bassa
47,0,Grand Cape Mount
47,2,Grand Gedeh
47,0,Grand Kru
47,0,Lofa
47,6,Margibi
47,0,Maryland
47,26,Montserrado
47,3,Nimba
47,0,River Gee
47,0,Rivercess
47,1,Sinoe
48,0,Bomi
48,15,Bong
48,0,Gbarpolu
48,0,Grand Bassa
48,0,Grand Cape Mount
48,1,Grand Gedeh
48,0,Grand Kru
48,0,Lofa
48,8,Margibi
48,0,Maryland
48,13,Montserrado
48,4,Nimba
48,0,River Gee
48,0,Rivercess
48,0,Sinoe
49,0,Bomi
49,10,Bong
49,0,Gbarpolu
49,0,Grand Bassa
49,0,Grand Cape Mount
49,5,Grand Gedeh
49,0,Grand Kru
49,0,Lofa
49,10,Margibi
49,0,Maryland
49,14,Montserrado
49,3,Nimba
49,0,River Gee
49,0,Rivercess
49,0,Sinoe
50,0,Bomi
50,5,Bong
50,0,Gbarpolu
50,0,Grand Bassa
50,0,Grand Cape Mount
50,0,Grand Gedeh
50,0,Grand Kru
50,0,Lofa
50,6,Margibi
50,0,Maryland
50,12,Montserrado
50,0,Nimba
50,0,River Gee
50,0,Rivercess
50,0,Sinoe
51,0,Bomi
51,8,Bong
51,2,Gbarpolu
51,0,Grand Bassa
51,0,Grand Cape Mount
51,4,Grand Gedeh
51,0,Grand Kru
51,0,Lofa
51,6,Margibi
51,0,Maryland
51,13,Montserrado
51,5,Nimba
51,0,River Gee
51,0,Rivercess
51,0,Sinoe
52,0,Bomi
52,10,Bong
52,0,Gbarpolu
52,0,Grand Bassa
52,0,Grand Cape Mount
52,1,Grand Gedeh
52,0,Grand Kru
52,0,Lofa
52,1,Margibi
52,0,Maryland
52,3,Montserrado
52,0,Nimba
52,0,River Gee
52,0,Rivercess
52,0,Sinoe
53,0,Bomi
53,10,Bong
53,0,Gbarpolu
53,0,Grand Bassa
53,0,Grand Cape Mount
53,1,Grand Gedeh
53,0,Grand Kru
53,0,Lofa
53,3,Margibi
53,0,Maryland
53,10,Montserrado
53,1,Nimba
53,0,River Gee
53,0,Rivercess
53,0,Sinoe
54,0,Bomi
54,13,Bong
54,0,Gbarpolu
54,1,Grand Bassa
54,0,Grand Cape Mount
54,0,Grand Gedeh
54,0,Grand Kru
54,1,Lofa
54,4,Margibi
54,0,Maryland
54,7,Montserrado
54,1,Nimba
54,0,River Gee
54,0,Rivercess
54,0,Sinoe
55,0,Bomi
55,10,Bong
55,0,Gbarpolu
55,1,Grand Bassa
55,0,Grand Cape Mount
55,0,Grand Gedeh
55,0,Grand Kru
55,0,Lofa
55,6,Margibi
55,0,Maryland
55,7,Montserrado
55,0,Nimba
55,0,River Gee
55,0,Rivercess
55,0,Sinoe
56,0,Bomi
56,6,Bong
56,0,Gbarpolu
56,0,Grand Bassa
56,0,Grand Cape Mount
56,0,Grand Gedeh
56,0,Grand Kru
56,0,Lofa
56,5,Margibi
56,0,Maryland
56,4,Montserrado
56,0,Nimba
56,0,River Gee
56,0,Rivercess
56,0,Sinoe
57,0,Bomi
57,9,Bong
57,0,Gbarpolu
57,2,Grand Bassa
57,0,Grand Cape Mount
57,0,Grand Gedeh
57,0,Grand Kru
57,0,Lofa
57,3,Margibi
57,0,Maryland
57,3,Montserrado
57,2,Nimba
57,0,River Gee
57,0,Rivercess
57,0,Sinoe
58,0,Bomi
58,7,Bong
58,0,Gbarpolu
58,0,Grand Bassa
58,0,Grand Cape Mount
58,0,Grand Gedeh
58,0,Grand Kru
58,0,Lofa
58,6,Margibi
58,0,Maryland
58,3,Montserrado
58,3,Nimba
58,0,River Gee
58,0,Rivercess
58,0,Sinoe
59,0,Bomi
59,3,Bong
59,0,Gbarpolu
59,0,Grand Bassa
59,0,Grand Cape Mount
59,0,Grand Gedeh
59,0,Grand Kru
59,0,Lofa
59,2,Margibi
59,0,Maryland
59,1,Montserrado
59,4,Nimba
59,0,River Gee
59,1,Rivercess
59,0,Sinoe
60,0,Bomi
60,4,Bong
60,0,Gbarpolu
60,0,Grand Bassa
60,0,Grand Cape Mount
60,0,Grand Gedeh
60,0,Grand Kru
60,0,Lofa
60,1,Margibi
60,0,Maryland
60,2,Montserrado
60,4,Nimba
60,0,River Gee
60,0,Rivercess
60,0,Sinoe
61,0,Bomi
61,3,Bong
61,0,Gbarpolu
61,0,Grand Bassa
61,0,Grand Cape Mount
61,0,Grand Gedeh
61,0,Grand Kru
61,0,Lofa
61,0,Margibi
61,0,Maryland
61,0,Montserrado
61,2,Nimba
61,0,River Gee
61,1,Rivercess
61,0,Sinoe
62,0,Bomi
62,0,Bong
62,0,Gbarpolu
62,1,Grand Bassa
62,0,Grand Cape Mount
62,0,Grand Gedeh
62,0,Grand Kru
62,0,Lofa
62,0,Margibi
62,0,Maryland
62,1,Montserrado
62,2,Nimba
62,0,River Gee
62,1,Rivercess
62,0,Sinoe
63,0,Bomi
63,0,Bong
63,0,Gbarpolu
63,1,Grand Bassa
63,0,Grand Cape Mount
63,0,Grand Gedeh
63,0,Grand Kru
63,0,Lofa
63,0,Margibi
63,0,Maryland
63,0,Montserrado
63,1,Nimba
63,0,River Gee
63,0,Rivercess
63,0,Sinoe
